date,cases
2014-02-03,1
2014-02-24,4
2014-03-03,6
2014-03-17,9
2014-03-24,4
2014-03-31,3
2014-04-28,19
2014-05-05,37
2014-05-12,13
2014-05-19,15
2014-05-26,7
2014-06-02,3
2014-06-09,10
2014-06-16,2
2014-06-23,7
2014-07-07,17
2014-07-14,14
2014-07-21,23
2014-07-28,20
2014-08-04,16
2014-08-11,18
2014-08-18,9
2014-08-25,29
2014-09-08,20
2014-09-15,24
2014-09-22,12
2014-09-29,14
2014-10-06,21
2014-10-13,2
2014-10-20,13
2014-10-27,4
2014-11-10,5
2014-11-17,9
2014-11-24,27
2014-12-01,1
2014-12-08,35
2014-12-15,2
2014-12-22,15
2014-12-29,10
2015-02-02,16
2015-02-09,3
2015-02-16,58
2015-03-02,44
2015-03-09,32
2015-03-16,35
2015-03-23,32
2015-03-30,27
2015-04-06,22
2015-04-13,53
2015-04-27,47
2015-05-04,78
2015-05-11,63
2015-05-18,59
2015-05-25,106
2015-06-01,13
2015-06-08,36
2015-06-15,18
2015-06-22,25
2015-06-29,3
2015-07-06,123
2015-07-13,29
2015-07-20,19
2015-07-27,54
2015-08-03,31
2015-08-17,87
2015-08-24,12
2015-08-31,40
2015-09-07,4
2015-09-14,54
2015-09-21,3
2015-09-28,63
2015-10-05,8
2015-10-12,6
2015-10-19,8
2015-10-26,12
2015-11-02,3
2015-11-09,13
2015-11-16,5
2015-11-23,19
2015-11-30,4
2015-12-07,17
2015-12-14,12
2015-12-21,15
2016-01-25,7
2016-02-01,2
2016-02-08,7
2016-02-15,14
2016-02-22,9
2016-02-29,5
2016-03-07,15
2016-03-14,6
2016-03-21,22
2016-03-28,11
2016-04-04,4
2016-04-11,12
2016-04-18,16
2016-04-25,5
2016-05-02,17
2016-05-09,7
2016-05-16,12
2016-05-23,9
2016-05-30,9
2016-06-06,18
2016-06-13,7
2016-06-27,7
2016-07-04,13
2016-07-11,7
2016-07-18,13
2016-07-25,15
2016-08-01,16
2016-08-08,5
2016-08-15,15
2016-08-22,19
2016-08-29,10
2016-09-05,17
2016-09-12,5
2016-09-19,22
2016-09-26,14
2016-10-03,11
2016-10-10,4
2016-10-24,2
2016-10-31,30
2016-11-07,3
2016-11-14,9
2016-11-21,27
2016-11-28,2
2016-12-05,10
2016-12-12,2
2016-12-19,4
2016-12-26,26
2017-01-23,5
2017-02-06,2
2017-02-20,13
2017-03-06,13
2017-03-13,10
2017-03-20,3
2017-03-27,12
2017-04-03,5
2017-04-10,19
2017-04-17,4
2017-04-24,10
2017-05-01,38
2017-05-08,13
2017-05-15,7
2017-05-22,12
2017-05-29,10
2017-06-05,18
2017-06-12,42
2017-06-19,20
2017-06-26,21
2017-07-03,19
2017-07-10,48
2017-07-17,26
2017-07-24,17
2017-07-31,26
2017-08-07,10
2017-08-14,13
2017-08-21,18
2017-08-28,3
2017-09-04,10
2017-09-11,28
2017-09-18,36
2017-09-25,14
2017-10-02,23
2017-10-09,6
2017-10-16,8
2017-10-23,14
2017-10-30,11
2017-11-06,25
2017-11-13,11
2017-11-20,12
2017-11-27,7
2017-12-04,14
2017-12-11,20
2018-01-22,1
2018-01-29,7
2018-02-05,6
2018-02-12,8
2018-02-19,6
2018-02-26,4
2018-03-05,18
2018-03-12,13
2018-03-19,7
2018-03-26,12
2018-04-02,29
2018-04-09,11
2018-04-16,13
2018-04-30,30
2018-05-07,8
2018-05-14,12
2018-05-21,6
2018-05-28,28
2018-06-04,1
2018-06-11,28
2018-06-18,23
2018-07-16,1
2018-09-03,1
2018-09-10,1
2019-01-07,1
2019-01-21,1
2019-04-01,1
2019-04-08,1
2019-04-15,1
2022-01-03,0
2022-01-10,0
2022-01-17,0
2022-01-24,0
2022-01-31,0
2022-02-07,1
2022-02-14,0
2022-02-21,0
2022-02-28,0
2022-03-07,0
2022-03-14,0
2022-03-21,0
2022-03-28,0
2022-04-04,0
2022-04-11,1
2022-04-18,0
2022-04-25,0
2022-05-02,0
2022-05-09,0
2022-05-16,0
2022-05-23,0
2022-05-30,0
2022-06-06,0
2022-06-13,0
2022-06-20,0
2022-06-27,0
2022-07-04,0
2022-07-11,0
2022-07-18,0
2022-07-25,0
2022-08-01,0
2022-08-08,0
2022-08-15,0
2022-08-22,0
2022-08-29,0
2022-09-05,0
2022-09-12,0
2022-09-19,0
2022-09-26,0
2022-10-03,0
2022-10-10,1
2022-10-17,0
2022-10-24,0
2022-10-31,0
2022-11-07,0
2022-11-14,1
2022-11-21,0
2022-11-28,0
2022-12-05,0
2022-12-12,0
2022-12-19,0
2022-12-26,0
2023-01-02,0
2023-01-09,0
2023-01-16,0
2023-01-23,0
2023-01-30,0
2023-02-06,0
2023-02-13,0
2023-02-20,0
2023-02-27,0
2023-03-06,0
2023-03-13,0
2023-03-27,1
2023-04-03,0
2023-04-10,0
2023-04-17,0
2023-04-24,0
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,2
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,0
2023-10-02,0
2023-10-09,0
2023-10-16,0
2023-10-23,0
2023-10-30,1
2023-11-06,0
2023-11-13,0
2023-11-20,0
2023-11-27,0
2023-12-04,0
2023-12-11,0
2023-12-18,0
2023-12-25,1
2024-01-01,0
2024-01-08,0
2024-01-15,0
2024-01-22,0
2024-01-29,1
2024-02-05,0
2024-02-12,0
2024-02-19,0
2024-02-26,1
2024-03-04,0
2024-03-11,0
2024-03-18,0
2024-03-25,1
2024-04-01,1
2024-04-08,0
2024-04-15,2
2024-04-22,0
2024-04-29,3
