date,cases
2022-01-03,1
2022-01-10,2
2022-01-17,1
2022-01-24,0
2022-01-31,0
2022-02-07,0
2022-02-14,1
2022-02-21,1
2022-02-28,3
2022-03-07,2
2022-03-14,0
2022-03-21,3
2022-03-28,4
2022-04-04,3
2022-04-11,1
2022-04-18,1
2022-04-25,1
2022-05-02,3
2022-05-09,1
2022-05-16,1
2022-05-23,2
2022-05-30,0
2022-06-06,0
2022-06-13,0
2022-06-20,0
2022-06-27,2
2022-07-04,1
2022-07-11,0
2022-07-18,0
2022-07-25,0
2022-08-01,2
2022-08-08,1
2022-08-15,0
2022-08-22,0
2022-08-29,0
2022-09-05,2
2022-09-12,0
2022-09-19,1
2022-09-26,1
2022-10-03,2
2022-10-10,1
2022-10-17,1
2022-10-24,2
2022-10-31,4
2022-11-07,10
2022-11-14,3
2022-11-21,6
2022-11-28,0
2022-12-05,2
2022-12-12,0
2022-12-19,1
2022-12-26,0
2023-01-02,3
2023-01-09,2
2023-01-16,0
2023-01-23,2
2023-01-30,3
2023-02-06,2
2023-02-13,1
2023-02-20,3
2023-02-27,1
2023-03-06,0
2023-03-13,1
2023-03-20,2
2023-03-27,0
2023-04-03,0
2023-04-10,1
2023-04-17,1
2023-04-24,2
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,2
2023-06-19,0
2023-06-26,0
2023-07-03,3
2023-07-10,4
2023-07-17,0
2023-07-24,1
2023-07-31,2
2023-08-07,3
2023-08-14,0
2023-08-21,1
2023-08-28,3
2023-09-04,2
2023-09-11,0
2023-09-18,0
2023-09-25,0
2023-10-02,1
2023-10-09,1
2023-10-16,4
2023-10-23,2
2023-10-30,3
2023-11-06,3
2023-11-13,4
2023-11-20,6
2023-11-27,1
2023-12-04,7
2023-12-11,2
2023-12-18,0
2023-12-25,0
2024-01-01,6
2024-01-08,2
2024-01-15,0
2024-01-22,2
2024-01-29,8
2024-02-05,4
2024-02-12,10
2024-02-19,9
2024-02-26,9
2024-03-04,11
2024-03-11,17
2024-03-18,17
2024-03-25,10
2024-04-01,13
2024-04-08,7
2024-04-15,9
2024-04-22,16
2024-04-29,15
2024-05-06,14
2024-05-13,23
2024-05-20,22
2024-05-27,29
2024-06-03,21
2024-06-10,19
2024-06-17,20
2024-06-24,21
2024-07-01,28
2024-07-08,33
2024-07-15,24
2024-07-22,21
2024-07-29,29
2024-08-05,43
2024-08-12,28
2024-08-19,27
2024-08-26,38
2024-09-02,56
2024-09-09,31
2024-09-16,45
2024-09-23,37
2024-09-30,65
2024-10-07,53
2024-10-14,88
2024-10-21,80
2024-10-28,110
2024-11-04,110
2024-11-11,138
2024-11-18,117
2024-11-25,103
2024-12-02,100
2024-12-09,67
2024-12-16,87
2024-12-23,87
